"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1276","Sorting resets to default after page refresh","","Sun Dec 21 19:03:39 UTC 2025","passed","Sun Dec 21 19:03:40 UTC 2025","","","",""
"","1288","Sort after navigation to cart and back","","Sun Dec 21 19:03:50 UTC 2025","passed","Sun Dec 21 19:03:52 UTC 2025","","","",""
"","1571","Cancel checkout from overview page","","Sun Dec 21 19:03:25 UTC 2025","passed","Sun Dec 21 19:03:27 UTC 2025","","","",""
"","1253","Cannot proceed without required information","","Sun Dec 21 19:03:12 UTC 2025","passed","Sun Dec 21 19:03:13 UTC 2025","","","",""
"","992","Failed login with invalid credentials","","Sun Dec 21 19:03:29 UTC 2025","passed","Sun Dec 21 19:03:30 UTC 2025","","","",""
"","1533","First name with special characters","","Sun Dec 21 19:03:20 UTC 2025","passed","Sun Dec 21 19:03:22 UTC 2025","","","",""
"","1129","Sorting does not work for problem_user","","Sun Dec 21 19:03:54 UTC 2025","passed","Sun Dec 21 19:03:55 UTC 2025","","","",""
"","1067","Sorting persists product count","","Sun Dec 21 19:03:46 UTC 2025","passed","Sun Dec 21 19:03:47 UTC 2025","","","",""
"","1555","Multiple failed login attempts","","Sun Dec 21 19:03:35 UTC 2025","passed","Sun Dec 21 19:03:37 UTC 2025","","","",""
"","965","Login with SQL injection attempt","","Sun Dec 21 19:03:37 UTC 2025","passed","Sun Dec 21 19:03:38 UTC 2025","","","",""
"","1175","Verify all sort options are available","","Sun Dec 21 19:03:53 UTC 2025","passed","Sun Dec 21 19:03:54 UTC 2025","","","",""
"","1222","Sort persists after adding product","","Sun Dec 21 19:03:52 UTC 2025","passed","Sun Dec 21 19:03:53 UTC 2025","","","",""
"","1167","Sort option selected is visually distinct","","Sun Dec 21 19:03:48 UTC 2025","passed","Sun Dec 21 19:03:49 UTC 2025","","","",""
"","1183","Cart persists across pages","","Sun Dec 21 19:03:02 UTC 2025","passed","Sun Dec 21 19:03:03 UTC 2025","","","",""
"","669","Homepage loads successfully","","Sun Dec 21 19:03:55 UTC 2025","passed","Sun Dec 21 19:03:56 UTC 2025","","","",""
"","1393","Cannot proceed with incomplete information","","Sun Dec 21 19:03:13 UTC 2025","passed","Sun Dec 21 19:03:14 UTC 2025","","","",""
"","1130","View cart with added products","","Sun Dec 21 19:02:57 UTC 2025","passed","Sun Dec 21 19:02:59 UTC 2025","","","",""
"","1179","Continue shopping from cart","","Sun Dec 21 19:03:01 UTC 2025","passed","Sun Dec 21 19:03:02 UTC 2025","","","",""
"","1813","Customer buys multiple products","","Sun Dec 21 19:04:00 UTC 2025","passed","Sun Dec 21 19:04:02 UTC 2025","","","",""
"","958","Application accepts valid login","","Sun Dec 21 19:03:57 UTC 2025","passed","Sun Dec 21 19:03:58 UTC 2025","","","",""
"","1085","Sort products by price low to high","","Sun Dec 21 19:03:42 UTC 2025","passed","Sun Dec 21 19:03:43 UTC 2025","","","",""
"","655","Login form elements are present","","Sun Dec 21 19:03:56 UTC 2025","passed","Sun Dec 21 19:03:57 UTC 2025","","","",""
"","970","Application rejects invalid login","","Sun Dec 21 19:03:58 UTC 2025","passed","Sun Dec 21 19:03:59 UTC 2025","","","",""
"","1489","Only spaces in required fields","","Sun Dec 21 19:03:27 UTC 2025","passed","Sun Dec 21 19:03:28 UTC 2025","","","",""
"","1942","Customer adds multiple items then removes some","","Sun Dec 21 19:04:04 UTC 2025","passed","Sun Dec 21 19:04:06 UTC 2025","","","",""
"","1090","Add single product to cart","","Sun Dec 21 19:02:55 UTC 2025","passed","Sun Dec 21 19:02:56 UTC 2025","","","",""
"","1044","Default sorting is A to Z","","Sun Dec 21 19:03:40 UTC 2025","passed","Sun Dec 21 19:03:41 UTC 2025","","","",""
"","1593","Verify order summary displays correct information","","Sun Dec 21 19:03:14 UTC 2025","passed","Sun Dec 21 19:03:16 UTC 2025","","","",""
"","1292","Multiple rapid sort changes","","Sun Dec 21 19:03:49 UTC 2025","passed","Sun Dec 21 19:03:50 UTC 2025","","","",""
